part_of_speech,english,greek,category
noun,"friend, boyfriend, girlfriend",φίλος,masculine
adjective,friendly,φιλικός,
preposition,from,από,
adjective,full,γεμάτος,
adjective,funny,αστείος,
noun,garden,κήπος,masculine
noun,garlic,σκόρδο,neuter
verb,get up,σηκώνομαι,
noun,girl (young),κορίτσι,neuter
noun,"girl, girlfriend",κοπέλα,feminine
verb,give,δίνω,
noun,"glass, drinking glass",ποτήρι,neuter
noun,glasses,γυαλιά,feminine
noun,glove,γάντι,neuter
noun,glue,κόλλα,feminine
verb,go,πάω,
adjective,"good, kind",καλός,
noun,granddaughter,εγγονή,feminine
noun,grandfather,παππούς,masculine
noun,grandmother,γιαγιά,feminine
noun,grandson,εγγονός,masculine
noun,grape,σταφύλι,neuter
noun,grocery store,παντοπωλείο,neuter
noun,"gum, rubber",γόμα,feminine
noun,hair (single stran),μαλλί,neuter
noun,hallway ,διάδρομος,masculine
noun,hand arm,χέρι,neuter
adjective,happy,χαρούμενος,
noun,hat,καπέλο,neuter
verb,have,έχω,
noun,head,κεφάλι,neuter
verb,hear,ακούω,
noun,heavy jacket,μπουφάν,neuter
noun,heel (foot),φτέρνα,feminine
noun,heel (shoe),τακούνι,neuter
adverb,here,εδώ,
noun,hill,λόφος,masculine
noun,horse,άλογο,neuter
noun,hospital,νοσοκομείο,neuter
noun,hotel,ξενοδοχείο,neuter
noun,house,σπίτι,neuter
adjective,hungry,πεινασμένος,
conjunction,if,αν,
preposition,in front of,μπροστά σε,
adjective,independent,ανεξάρτητος,
adverb,inside,μέσα,
noun,jacket,ζακέτα,feminine
noun,January,Ιανουάριος,masculine
noun,July,Ιούλιος,masculine
noun,June,Ιούνιος,masculine
noun,key,κλειδί,neuter
adjective,"kind, polite",ευγενικός,
noun,kitchen,κουζίνα,feminine
noun,kiwi ,ακτινίδιο,neuter
noun,knee,γόνατο,neuter
noun,knife,μαχαίρι,neuter
verb,know (a fact),ξέρω,
verb,"know (a person, place)",γνωρίζω,
noun,lake,λίμνη,feminine
